datetime, download (bps), upload (bps), ping (ms), latitude, longitude, speed (mph)
14/12/2022 11:07:04,46845.650251388775,253016.58968964405,70.835,29.733209666666667,-96.58330283333333,73.86051274
14/12/2022 11:07:05,30322.084937602845,184613.92513676104,70.835,29.73295,-96.58313666666666,73.76729956
14/12/2022 11:07:05,146652.56225941563,168953.40809139077,70.835,29.73295,-96.58313666666666,73.76729956
14/12/2022 11:07:07,77637.66215683162,147685.8619677132,70.835,29.732426833333335,-96.58281866666667,73.43587491999999
14/12/2022 11:07:07,824865.5434998738,466373.26800914604,70.835,29.732426833333335,-96.58281866666667,73.43587491999999
14/12/2022 11:07:07,749822.951692339,77521.20369657967,70.835,29.732426833333335,-96.58281866666667,73.43587491999999
14/12/2022 11:07:08,15602.200330698504,128053.00140798304,70.835,29.732161,-96.58266766666667,73.70515744
14/12/2022 11:07:08,441345.3205877307,356225.44154468284,70.835,29.732161,-96.58266766666667,73.70515744
14/12/2022 11:07:10,59965.8254453344,158757.27245500262,70.835,29.731617833333335,-96.58237766666667,74.98252323999999
14/12/2022 11:07:10,351413.9110583119,179926.68180706268,70.835,29.731617833333335,-96.58237766666667,74.98252323999999
14/12/2022 11:07:10,152416.01061707956,179105.3967579786,70.835,29.731617833333335,-96.58237766666667,74.98252323999999
14/12/2022 11:07:11,15090.24732868673,103943.18932759526,70.835,29.731339166666668,-96.5822375,75.90890113999998
14/12/2022 11:07:11,174045.10206168552,443216.9984791372,70.835,29.731339166666668,-96.5822375,75.90890113999998
14/12/2022 11:07:11,164072.59781127374,526309.028369321,70.835,29.731339166666668,-96.5822375,75.90890113999998
14/12/2022 11:07:12,97022.76299261808,150853.34132347783,70.835,29.7310545,-96.58209916666667,76.89972271999999
14/12/2022 11:07:14,105542.9893311181,429727.11874870904,70.835,29.730476666666668,-96.5818205,78.18399319999999
14/12/2022 11:07:14,296939.15149288543,373202.64929544844,70.835,29.730476666666668,-96.5818205,78.18399319999999
14/12/2022 11:07:14,133769.27388201986,223512.55769601563,70.835,29.730476666666668,-96.5818205,78.18399319999999
14/12/2022 11:07:15,851606.6339875933,984269.5004265072,70.835,29.730182833333334,-96.581687,78.42795856
14/12/2022 11:07:17,38359.64625271036,99023.01704844492,70.835,29.729585,-96.58145683333333,78.29561886
14/12/2022 11:07:17,32479.3540319567,312703.6810978007,70.835,29.729585,-96.58145683333333,78.29561886
